gene,mean_vcm3,mean_rest,log2fc,pval,fdr
SH3BP5,0.067727655,0.060294256,0.16772175,0.36861930591376635,0.6959924186119855
FMR1,0.09777355,0.11086737,-0.18131709,0.36866912180743905,0.6959464186715076
RTRAF,0.1319103,0.14522117,-0.13869357,0.3686783474325852,0.6958238293326321
MARK1,0.5166598,0.5173072,-0.0018066764,0.3691158068213012,0.6965093522923266
D2HGDH,0.09155892,0.10158986,-0.14998245,0.3693134153098969,0.696742099826554
WTIP,0.09368023,0.09190517,0.027598381,0.3694205576775045,0.696804115828377
CLK3,0.1270463,0.13387133,-0.075491905,0.36954804531600194,0.6969044746039659
NDRG1,0.041047454,0.050371364,-0.2953043,0.36973655539260775,0.6971198478081684
HNRNPM,0.37955567,0.3754086,0.015849829,0.36977352515948836,0.6969794501348708
REEP3,0.55294406,0.5491112,0.010035276,0.36977352515948836,0.6969794501348708
ENSG00000254692,0.09199691,0.08876298,0.051626444,0.3698955416887595,0.6969993918706451
FAM169A,0.1035049,0.095157154,0.12131381,0.36997135243254486,0.6970022547233204
ZNF577,0.10478334,0.11897218,-0.18321323,0.36998984432222704,0.6968971530678848
PPP5D1P,0.114319466,0.12410814,-0.11852574,0.3702635914288813,0.6972727849830921
HNRNPH1,0.58176297,0.57661676,0.0128186345,0.3707059215493054,0.6979656744883771
ST7,1.3209611,1.3271358,-0.0067279935,0.3707985007109529,0.6979999064346227
PIK3C2A,0.45758143,0.47066194,-0.040662646,0.3709188750765634,0.6980864365031731
UQCC5,0.32777566,0.3270969,0.0029906034,0.3712579054691527,0.698584370058482
PUS7,0.113005884,0.10673751,0.08232999,0.3714654942984368,0.6988348240441015
NUP210L,0.06374466,0.063126,0.014069796,0.3715229646416205,0.6988028176158146
TMX3,0.15830651,0.16655558,-0.07328272,0.37152481861548137,0.6986662353678986
DHX15,0.34344018,0.35238823,-0.037106752,0.3715544829777392,0.698581995851132
